id_usuario,nombre_usuario,id_libro,titulo_libro,fecha_prestamo,fecha_devolucion
1001,Ana López,LIB001,El Principito,2025-07-01,2025-07-10
1002,Carlos Ramírez,LIB002,Cien Años de Soledad,2025-07-03,
1003,Lucía Méndez,LIB003,1984,2025-07-05,
,José Sin ID,LIB004,Don Quijote,2025-07-06,2025-08-15
1001,Ana López,LIB004,"Don Quijote, de la Mancha",2025-07-07,
ABC,Mario Texto,LIB001,El Principito,2025-07-08,2025-07-18
1005,Elena Ruiz,LIB006,"Crónica de una ""Muerte"" Anunciada",2025-07-10,
1003,Lucía Méndez,LIB002,Cien Años de Soledad,2025-07-09,2025-07-17
1006,Pedro Silva,,El Amor en los Tiempos del Cólera,2025-07-12,2025-08-20
1001,Ana López,LIB008,La Casa de los Espíritus,2025-07-14,2025-08-25
1007,"Carmen ""La Lectora"" Torres",LIB001,El Principito,2025-07-15,2025-08-05
1002,Carlos Ramírez,LIB009,"Rayuela, por Cortázar",2025-07-16,
0,Usuario Cero,LIB010,El Túnel,2025-07-18,2025-09-15
1003,,LIB011,La Metamorfosis,2025-07-20,
1001,Ana López,LIB001,El Principito,2025-07-22,
1009,"Sofía, Morales & Asociados",LIB012,Ficciones,2025-07-25,invalid_date
-1,Mario Negativo,LIB013,El Aleph,2025-07-26,2025-08-30
1010,Diego Herrera,LIB014,Crónicas Marcianas,invalid_date,
1001,Ana López,LIB015,"Maus: Historia de un Sobreviviente",2025-08-01,2025-09-01
1002,Carlos Ramírez,LIB001,El Principito,2025-08-03,
1005,,LIB016,Persépolis,2025-08-05,2025-09-10
1003,Lucía Méndez,LIB017,Watchmen,2025-08-07,
1011,Isabel Castro,LIB999,"Libro ""Inexistente""",2025-08-10,2025-09-20
1001,Ana López,NULL,Sandman,2025-08-12,
1006,Pedro Silva,LIB001,El Principito,2025-08-14,2025-09-25
,,"","",,
1002,Carlos Ramírez,LIB021,Saga Vol. 1-10,2025-08-18,2025-09-18
1001,Ana López,LIB022,"Walking Dead, Compendio",2025-08-20,
1007,Carmen Torres,LIB023,Fables & Folk Tales,2025-08-22,2025-09-30
1013,Alejandra Ruiz,LIB024,Y: El Último Hombre,2025-08-24,
1003,Lucía Méndez,LIB001,El Principito,2025-08-26,
9999,Usuario Alto,LIB025,Preacher: Libro de Genesis,2025-08-28,2025-10-05
1001,Ana López,LIB026,"Trans;metropolitan",2025-08-30,
1015,Rosa Jiménez,LIB027,100 Bullets (Serie Completa),2025-06-15,2025-07-20
1002,Carlos Ramírez,LIB028,Hellblazer: Constantine,2025-06-18,2025-08-10
1016,"Andrés ""Andy"" Luna",LIB029,The Sandman Universe,2025-06-20,2025-08-15
1001,Ana López,LIB030,Lucifer: Fallen Angel,2025-05-10,2025-06-25
1017,Patricia O'Connor,LIB031,American Gods (Edición Especial),2025-05-15,2025-07-30
1003,Lucía Méndez,LIB032,"Good Omens: Apocalipsis, Etc.",2025-05-20,2025-08-05
1002,Carlos Ramírez,LIB001,El Principito,2025-04-25,2025-06-10
NULL,Jorge Mendoza,LIB033,Neverwhere: Un Viaje,2025-04-28,2025-06-15
1001,Ana López,LIB034,The Ocean at the End,2025-04-30,2025-06-20
1019,"Beatriz ""Bea"" Vargas",LIB035,Coraline & Other Stories,2025-03-15,2025-05-10
1020,Alberto Rojas,LIB001,El Principito,2025-03-20,2025-05-15
X001,Usuario X,LIB036,Libro con ID Alfanumérico,2025-08-25,
1021,María José Fernández,LIB037,Harry Potter y la Piedra Filosofal,2025-08-26,2025-10-10
1022,Roberto Carlos Silva,LIB001,El Principito,2025-08-27,
1001,Ana López,LIB038,"1984, Edición Anotada",2025-08-28,
1023,Carmen del Valle,LIB039,Fahrenheit 451: Distopía,2025-08-29,2025-10-15
1024,Pedro José Martín,LIB040,Un Mundo Feliz,2025-08-30,
1025,"Luis ""El Bibliotecario"" García",LIB001,El Principito,2025-08-31,
1026,Ana María González,LIB041,Rebelión en la Granja,2025-09-01,2025-10-20
1001,Ana López,LIB042,Ensayo sobre la Ceguera,2025-09-02,
1027,José Antonio López,LIB043,El Nombre del Viento,2025-09-03,2025-11-05
